query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR10115637.1904310	22978	7	22971	-	OX387718.1	34891842	44452	67417	22497	22968	60	22497
ERR10115637.889571	23269	26	23253	+	OX387719.1	33329425	4593	27810	22187	23238	13	22187
ERR10115637.318133	22797	9	22791	-	OX387715.1	122962308	122896733	122919436	20986	22800	21	20986
ERR10115637.1667066	21736	6	21727	+	OX387719.1	33329425	8413	30121	20781	21734	13	20781
ERR10115637.1466272	21366	7	21361	-	OX387719.1	33329425	33264973	33286344	20657	21387	60	20657
ERR10115637.647985	23170	2	23164	-	OX387716.1	110195567	28999	52180	20632	23242	60	20632
ERR10115637.309278	22402	120	22396	-	OX387719.1	33329425	4117	25808	20330	22300	3	20330
ERR10115637.41068	22271	6	22271	-	OX387719.1	33329425	1438	23175	20244	22311	0	20244
ERR10115637.497573	21850	14	21849	-	OX387718.1	34891842	34827598	34849431	20185	21836	60	20185
ERR10115637.170665	21228	0	21224	+	OX387717.1	78174148	690	21892	19935	21232	0	19935
ERR10115637.481298	22109	3	22103	-	OX387717.1	78174148	78124239	78146324	19839	22130	60	19839
ERR10115637.1430201	21883	3	21876	+	OX387715.1	122962308	122924359	122946181	19749	21881	16	19749
ERR10115637.1281824	20342	2	20336	-	OX387716.1	110195567	110153312	110174410	19361	21149	6	19361
ERR10115637.12802	20298	0	20290	-	OX387719.1	33329425	45055	65287	19294	20316	60	19294
ERR10115637.785247	20181	8	20179	-	OX387719.1	33329425	33268281	33288451	19255	20190	60	19255
ERR10115637.746735	20418	2	20413	+	OX387717.1	78174148	2	20402	19197	20419	0	19197
ERR10115637.718778	20087	5	20083	-	OX387719.1	33329425	4884	24957	19076	20100	2	19076
ERR10115637.245682	24241	5	23992	+	OX387719.1	33329425	15331	37910	18961	24316	11	18961
ERR10115637.357363	20591	7	20577	-	OX387717.1	78174148	28706	49161	18809	20574	2	18809
ERR10115637.1154402	19013	1	18977	-	OX387719.1	33329425	42432	61408	18760	18978	60	18760
ERR10115637.1754993	19908	9	19894	+	OX387715.1	122962308	20738	40644	18630	19907	23	18630
ERR10115637.1661400	19797	9	19790	-	OX387717.1	78174148	34722	54497	18518	19787	5	18518
ERR10115637.827203	19980	0	19971	-	OX387717.1	78174148	78144692	78164661	18481	19999	44	18481
ERR10115637.1594803	19281	8	19274	-	OX387719.1	33329425	7	19265	18460	19273	11	18460
ERR10115637.478734	18933	3	18924	-	OX387719.1	33329425	33285014	33303938	18423	18930	60	18423
ERR10115637.103359	19983	1	19974	-	OX387718.1	34891842	31372	51357	18381	20038	60	18381
ERR10115637.836025	19209	3	19194	+	OX387719.1	33329425	10333	29518	18297	19201	13	18297
ERR10115637.260802	19137	6	19135	-	OX387716.1	110195567	37558	56686	18231	19130	60	18231
ERR10115637.498670	20374	8	20365	-	OX387715.1	122962308	122892726	122913096	18226	20421	21	18226
ERR10115637.1866464	21260	6	21253	-	OX387717.1	78174148	78123394	78144651	18112	21333	60	18112
ERR10115637.341336	17927	3	17926	-	OX387719.1	33329425	49630	67551	17673	17923	60	17673
ERR10115637.725385	22010	1697	22001	-	OX387715.1	122962308	122922195	122942874	17627	20935	0	17627
ERR10115637.1826389	18577	7	18570	-	OX387719.1	33329425	17441	36001	17463	18569	55	17463
ERR10115637.334769	19157	1	19153	-	OX387717.1	78174148	31605	50757	17428	19204	4	17428
ERR10115637.360232	19055	0	19049	+	OX387716.1	110195567	26811	45818	17423	19052	60	17423
ERR10115637.1132409	19440	5	19438	+	OX387719.1	33329425	10258	29591	17389	19478	13	17389
ERR10115637.1570644	18044	9	18041	-	OX387718.1	34891842	33992	52029	17352	18038	60	17352
