query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	.	..	...	....	.....
SRR29535114.379	2124	791	867	-	LF10_chr1	50495432	7137	7213	73	76	32	tp:A:P	cm:i:4	s1:i:76	s2:i:0	dv:f:0.0152
SRR29535114.678	586	62	512	-	LF10_chr4	46604272	31686	32142	280	457	50	tp:A:P	cm:i:21	s1:i:278	s2:i:185	dv:f:0.0223
SRR29535114.714	454	89	415	+	LF10_chr6	67806300	45096	45436	240	340	60	tp:A:P	cm:i:19	s1:i:229	s2:i:0	dv:f:0.0137
SRR29535114.715	459	38	439	-	LF10_chr6	67806300	45049	45459	329	414	60	tp:A:P	cm:i:32	s1:i:314	s2:i:0	dv:f:0.0074
SRR29535114.726	382	37	295	+	LF10_chr6	67806300	18637	18893	108	258	60	tp:A:P	cm:i:7	s1:i:114	s2:i:0	dv:f:0.0247
SRR29535114.796	597	361	456	-	LF10_chr8	39140677	39117840	39117942	70	102	28	tp:A:P	cm:i:4	s1:i:69	s2:i:0	dv:f:0.0337
SRR29535114.1079	3122	2162	2338	-	LF10_chr1	50495432	50483307	50483482	165	176	44	tp:A:P	cm:i:23	s1:i:169	s2:i:132	dv:f:0.0044
SRR29535114.1875	866	56	843	+	LF10_chr4	46604272	46560152	46560988	389	838	60	tp:A:P	cm:i:26	s1:i:365	s2:i:0	dv:f:0.0223
SRR29535114.2072	672	303	395	-	LF10_chr1	50495432	50483307	50483398	73	93	4	tp:A:P	cm:i:5	s1:i:76	s2:i:72	dv:f:0.0124
SRR29535114.2949	390	115	380	-	LF10_chr8	39140677	39098670	39098947	114	277	60	tp:A:P	cm:i:5	s1:i:114	s2:i:0	dv:f:0.0339
SRR29535114.3010	1198	35	211	-	LF10_chr1	50495432	50483290	50483463	162	176	50	tp:A:P	cm:i:17	s1:i:157	s2:i:118	dv:f:0.0091
SRR29535114.3010	1198	1069	1132	-	LF10_chr4	46604272	46578911	46578973	62	63	29	tp:A:P	cm:i:5	s1:i:62	s2:i:0	dv:f:0.0119
SRR29535114.3160	5832	2711	2771	-	LF10_chr1	50495432	7137	7197	60	60	32	tp:A:P	cm:i:6	s1:i:60	s2:i:0	dv:f:0.0106
SRR29535114.3335	359	170	282	-	LF10_chr5	48825035	48796054	48796165	99	112	0	tp:A:P	cm:i:5	s1:i:81	s2:i:81	dv:f:0.0112
SRR29535114.3348	2555	912	961	-	LF10_chr3	45743229	45742130	45742179	49	49	11	tp:A:P	cm:i:4	s1:i:49	s2:i:0	dv:f:0.0154
SRR29535114.3440	4612	3900	4087	-	LF10_chr1	50495432	50483291	50483482	82	191	3	tp:A:P	cm:i:4	s1:i:81	s2:i:74	dv:f:0.0323
SRR29535114.3927	5810	1952	2035	-	LF10_chr3	45743229	45741994	45742077	83	83	60	tp:A:P	cm:i:10	s1:i:83	s2:i:0	dv:f:0.0067
SRR29535114.4576	26709	3170	3312	-	LF10_chr1	50495432	7137	7285	83	148	60	tp:A:P	cm:i:7	s1:i:83	s2:i:0	dv:f:0.0092
SRR29535114.4582	8369	5125	5201	+	LF10_chr1	50495432	7137	7213	75	77	56	tp:A:P	cm:i:7	s1:i:75	s2:i:0	dv:f:0.0096
SRR29535114.4968	1146	190	1128	-	LF10_chr8	39140677	21522	22300	280	953	15	tp:A:P	cm:i:16	s1:i:250	s2:i:205	dv:f:0.0461
SRR29535114.5056	3040	63	2958	+	LF10_chr5	48825035	48820583	48823534	1416	2961	60	tp:A:P	cm:i:123	s1:i:1399	s2:i:697	dv:f:0.0161
SRR29535114.5396	17365	2930	3154	-	LF10_chr1	50495432	7164	7390	76	226	10	tp:A:P	cm:i:5	s1:i:75	s2:i:66	dv:f:0.0350
SRR29535114.5435	3735	617	674	-	LF10_chr1	50495432	50483367	50483424	57	57	0	tp:A:P	cm:i:7	s1:i:57	s2:i:57	dv:f:0.0090
SRR29535114.5435	3735	1588	1645	-	LF10_chr4	46604272	46578910	46578967	57	57	19	tp:A:P	cm:i:4	s1:i:57	s2:i:0	dv:f:0.0145
SRR29535114.5440	9386	7299	7396	+	LF10_chr1	50495432	7186	7285	53	99	13	tp:A:P	cm:i:3	s1:i:56	s2:i:0	dv:f:0.0314
SRR29535114.5461	10367	641	764	-	LF10_chr1	50495432	7164	7285	75	123	50	tp:A:P	cm:i:6	s1:i:78	s2:i:0	dv:f:0.0108
SRR29535114.5470	22648	20046	20201	-	LF10_chr1	50495432	7125	7285	112	160	60	tp:A:P	cm:i:10	s1:i:112	s2:i:0	dv:f:0.0096
SRR29535114.5697	4324	387	481	+	LF10_chr1	50495432	7124	7213	80	94	42	tp:A:P	cm:i:5	s1:i:78	s2:i:0	dv:f:0.0126
SRR29535114.5769	778	509	557	+	LF10_chr1	50495432	7164	7213	48	49	10	tp:A:P	cm:i:4	s1:i:48	s2:i:0	dv:f:0.0144
SRR29535114.5914	298	85	285	+	LF10_chr5	48825035	48775812	48776012	130	202	8	tp:A:P	cm:i:11	s1:i:130	s2:i:122	dv:f:0.0179
SRR29535114.5936	1396	489	661	+	LF10_chr1	50495432	7113	7285	117	173	60	tp:A:P	cm:i:10	s1:i:126	s2:i:0	dv:f:0.0169
SRR29535114.6067	18374	16878	16988	-	LF10_chr1	50495432	7171	7285	67	114	28	tp:A:P	cm:i:4	s1:i:69	s2:i:0	dv:f:0.0207
SRR29535114.6113	3984	3213	3263	-	LF10_chr1	50495432	7163	7213	50	50	12	tp:A:P	cm:i:4	s1:i:50	s2:i:0	dv:f:0.0155
SRR29535114.6126	1972	701	816	+	LF10_chr1	50495432	7170	7285	53	115	17	tp:A:P	cm:i:4	s1:i:55	s2:i:0	dv:f:0.0151
SRR29535114.6235	4547	2349	2431	-	LF10_chr3	45743229	45741993	45742077	59	84	18	tp:A:P	cm:i:3	s1:i:64	s2:i:0	dv:f:0.0257
SRR29535114.6290	1274	86	1185	-	LF10_chr8	39140677	21504	22998	471	1496	11	tp:A:P	cm:i:35	s1:i:404	s2:i:356	dv:f:0.0312
SRR29535114.6291	1386	203	1290	+	LF10_chr8	39140677	21512	22269	213	1101	0	tp:A:P	cm:i:12	s1:i:170	s2:i:169	dv:f:0.0613
SRR29535114.7547	32216	19623	19793	+	LF10_chr1	50495432	50483307	50483482	145	175	60	tp:A:P	cm:i:14	s1:i:146	s2:i:50	dv:f:0.0145
SRR29535114.7794	8673	6825	6997	-	LF10_chr1	50495432	50483291	50483466	157	175	20	tp:A:P	cm:i:18	s1:i:149	s2:i:133	dv:f:0.0116
SRR29535114.7836	721	434	480	-	LF10_chr3	45743229	17629	17676	46	47	4	tp:A:P	cm:i:3	s1:i:46	s2:i:0	dv:f:0.0176
SRR29535114.7854	8577	2452	8567	-	LF10_chr6	67806300	67799254	67805479	3289	6257	60	tp:A:P	cm:i:289	s1:i:3151	s2:i:781	dv:f:0.0144
SRR29535114.8215	1820	30	84	+	LF10_chr8	39140677	21621	21675	54	54	0	tp:A:P	cm:i:3	s1:i:54	s2:i:54	dv:f:0.0095
SRR29535114.8308	327	73	137	+	LF10_chr7	34875448	34846651	34846716	64	65	18	tp:A:P	cm:i:6	s1:i:64	s2:i:0	dv:f:0.0094
SRR29535114.8422	4431	81	4385	-	LF10_chr2	50269664	50223366	50227757	2771	4427	60	tp:A:P	cm:i:240	s1:i:2735	s2:i:0	dv:f:0.0119
SRR29535114.8876	49665	42973	43130	-	LF10_chr1	50495432	50483316	50483480	114	164	10	tp:A:P	cm:i:8	s1:i:113	s2:i:105	dv:f:0.0173
SRR29535114.9237	13222	639	833	-	LF10_chr1	50495432	50483289	50483482	193	194	34	tp:A:P	cm:i:30	s1:i:193	s2:i:160	dv:f:0.0023
SRR29535114.9389	9481	60	193	-	LF10_chr1	50495432	50483308	50483443	114	136	60	tp:A:P	cm:i:8	s1:i:112	s2:i:0	dv:f:0.0203
SRR29535114.9650	42457	11414	11666	-	LF10_chr1	50495432	7137	7390	84	254	38	tp:A:P	cm:i:4	s1:i:86	s2:i:0	dv:f:0.0394
SRR29535114.9784	15719	5362	5639	-	LF10_chr1	50495432	7118	7390	118	277	49	tp:A:P	cm:i:6	s1:i:117	s2:i:66	dv:f:0.0386
SRR29535114.9827	5253	3807	3967	+	LF10_chr1	50495432	7124	7285	84	161	40	tp:A:P	cm:i:4	s1:i:92	s2:i:0	dv:f:0.0299
SRR29535114.9957	479	423	465	+	LF10_chr8	39140677	39407	39452	42	45	0	tp:A:P	cm:i:3	s1:i:41	s2:i:41	dv:f:0.0174
SRR29535114.9989	2875	375	495	-	LF10_chr1	50495432	7164	7285	59	121	29	tp:A:P	cm:i:5	s1:i:62	s2:i:0	dv:f:0.0250
SRR29535114.10336	1534	1064	1138	+	LF10_chr1	50495432	7137	7213	64	76	26	tp:A:P	cm:i:4	s1:i:66	s2:i:0	dv:f:0.0151
SRR29535114.10399	28431	18084	18225	+	LF10_chr1	50495432	7143	7285	78	142	53	tp:A:P	cm:i:6	s1:i:81	s2:i:0	dv:f:0.0106
SRR29535114.10695	4170	2265	2420	+	LF10_chr1	50495432	50483326	50483482	130	156	30	tp:A:P	cm:i:19	s1:i:132	s2:i:108	dv:f:0.0035
SRR29535114.10870	1867	889	1012	+	LF10_chr1	50495432	50483290	50483415	93	125	36	tp:A:P	cm:i:7	s1:i:97	s2:i:69	dv:f:0.0246
SRR29535114.11130	1093	35	91	-	LF10_chr1	50495432	50483289	50483347	56	58	17	tp:A:P	cm:i:4	s1:i:55	s2:i:0	dv:f:0.0146
SRR29535114.11155	12516	47	12506	-	LF10_chr1	50495432	50457430	50470122	7041	12775	60	tp:A:P	cm:i:614	s1:i:6970	s2:i:0	dv:f:0.0152
SRR29535114.11350	2650	154	305	+	LF10_chr5	48825035	48796387	48796538	108	152	18	tp:A:P	cm:i:4	s1:i:98	s2:i:71	dv:f:0.0266
SRR29535114.11453	2742	1956	1998	-	LF10_chr1	50495432	7169	7213	42	44	1	tp:A:P	cm:i:3	s1:i:41	s2:i:0	dv:f:0.0193
SRR29535114.11576	30308	29940	30272	-	LF10_chr5	48825035	48796086	48796437	100	351	11	tp:A:P	cm:i:4	s1:i:87	s2:i:0	dv:f:0.0545
SRR29535114.11615	437	107	415	+	LF10_chr8	39140677	25328	25637	101	311	0	tp:A:P	cm:i:6	s1:i:112	s2:i:112	dv:f:0.0441
SRR29535114.11920	43049	38089	38234	-	LF10_chr1	50495432	7139	7285	99	146	60	tp:A:P	cm:i:9	s1:i:102	s2:i:0	dv:f:0.0104
SRR29535114.13040	2061	1915	1961	+	LF10_chr3	45743229	17629	17676	46	47	4	tp:A:P	cm:i:3	s1:i:46	s2:i:0	dv:f:0.0170
SRR29535114.13092	261	87	166	+	LF10_chr3	45743229	45741994	45742077	64	83	45	tp:A:P	cm:i:6	s1:i:72	s2:i:0	dv:f:0.0112
SRR29535114.13093	265	122	204	-	LF10_chr3	45743229	45741994	45742076	79	82	45	tp:A:P	cm:i:5	s1:i:82	s2:i:0	dv:f:0.0121
SRR29535114.13193	2882	668	755	-	LF10_chr3	45743229	45742092	45742179	54	87	13	tp:A:P	cm:i:3	s1:i:56	s2:i:0	dv:f:0.0312
