query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	.	..	...	....	.....
ERR10439742.40	7223	94	4117	-	OX578059.1	142895829	42382	46617	136	4235	1	tp:A:P	cm:i:10	s1:i:107	s2:i:82	dv:f:0.0593
ERR10439742.40	7223	3891	5802	-	OX578059.1	142895829	32676	34590	78	1914	0	tp:A:P	cm:i:6	s1:i:78	s2:i:63	dv:f:0.0633
ERR10439742.40	7223	5366	6121	-	OX578059.1	142895829	33623	34379	54	756	0	tp:A:P	cm:i:5	s1:i:54	s2:i:0	dv:f:0.0567
ERR10439742.544	8473	5454	8211	-	OX578059.1	142895829	76775	79534	90	2759	3	tp:A:P	cm:i:6	s1:i:90	s2:i:45	dv:f:0.0335
ERR10439742.828	7635	204	7549	-	OX578063.1	29784559	9220	16570	1548	7350	18	tp:A:P	cm:i:207	s1:i:1546	s2:i:1009	dv:f:0.0006
ERR10439742.1222	20453	3	11574	-	OX578061.1	39856278	36348	47872	9452	11588	0	tp:A:P	cm:i:1676	s1:i:9440	s2:i:9253	dv:f:0.0016
ERR10439742.1222	20453	17830	20437	-	OX578061.1	39856278	17688	20185	165	2609	51	tp:A:P	cm:i:19	s1:i:149	s2:i:77	dv:f:0.0417
ERR10439742.1222	20453	10472	12491	-	OX578061.1	39856278	36074	37878	180	2022	32	tp:A:P	cm:i:20	s1:i:147	s2:i:103	dv:f:0.0419
ERR10439742.1222	20453	12834	14639	-	OX578061.1	39856278	36074	37878	117	1808	0	tp:A:P	cm:i:14	s1:i:116	s2:i:110	dv:f:0.0536
ERR10439742.1222	20453	14395	19035	-	OX578063.1	29784559	30583	34809	171	4650	8	tp:A:P	cm:i:20	s1:i:109	s2:i:100	dv:f:0.0852
ERR10439742.1236	5740	5	5733	+	OX578061.1	39856278	39788297	39794018	5292	5728	60	tp:A:P	cm:i:938	s1:i:5292	s2:i:2691	dv:f:0.0006
ERR10439742.1571	6405	4610	5047	-	OX578059.1	142895829	39639	40076	45	437	0	tp:A:P	cm:i:3	s1:i:45	s2:i:0	dv:f:0.0335
ERR10439742.1970	17087	787	17051	-	OX578061.1	39856278	39811858	39825773	3523	16821	9	tp:A:P	cm:i:561	s1:i:3065	s2:i:2710	dv:f:0.0171
ERR10439742.1970	17087	9	1464	-	OX578061.1	39856278	39851591	39853008	235	1466	8	tp:A:P	cm:i:26	s1:i:225	s2:i:191	dv:f:0.0964
ERR10439742.2163	10395	197	10089	+	OX578059.1	142895829	63099	73414	452	10316	1	tp:A:P	cm:i:33	s1:i:397	s2:i:326	dv:f:0.0260
ERR10439742.2187	8963	2742	4637	-	OX578059.1	142895829	142820692	142822585	63	1895	0	tp:A:P	cm:i:6	s1:i:62	s2:i:62	dv:f:0.0706
ERR10439742.2187	8963	4729	6697	+	OX578059.1	142895829	89396	91367	62	1971	0	tp:A:P	cm:i:5	s1:i:61	s2:i:52	dv:f:0.0941
ERR10439742.2187	8963	1666	3111	+	OX578059.1	142895829	88231	89679	62	1448	0	tp:A:P	cm:i:5	s1:i:61	s2:i:61	dv:f:0.0883
ERR10439742.2187	8963	554	1034	+	OX578059.1	142895829	95767	96249	58	482	0	tp:A:P	cm:i:5	s1:i:58	s2:i:48	dv:f:0.0567
ERR10439742.2187	8963	8436	8549	-	OX578059.1	142895829	142822471	142822585	48	114	0	tp:A:P	cm:i:5	s1:i:48	s2:i:48	dv:f:0.0384
ERR10439742.2190	8488	2140	8393	-	OX578060.1	91870870	27400	33654	442	6254	10	tp:A:P	cm:i:39	s1:i:442	s2:i:150	dv:f:0.0109
ERR10439742.2204	5609	7	5603	-	OX578062.1	39551669	96011	101607	5576	5596	60	tp:A:P	cm:i:1040	s1:i:5576	s2:i:0	dv:f:0.0001
ERR10439742.2430	15946	120	15939	+	OX578059.1	142895829	142849472	142865667	7320	21177	6	tp:A:P	cm:i:1265	s1:i:6069	s2:i:5864	dv:f:0.0364
ERR10439742.2716	4835	6	4826	-	OX578061.1	39856278	39847076	39851897	4548	4822	0	tp:A:P	cm:i:781	s1:i:4548	s2:i:4543	dv:f:0.0007
ERR10439742.2963	14427	3	14343	+	OX578061.1	39856278	39802570	39816920	12086	14351	18	tp:A:P	cm:i:2175	s1:i:12085	s2:i:11321	dv:f:0.0005
ERR10439742.3017	18078	1391	17930	-	OX578059.1	142895829	74665	91219	1068	16563	10	tp:A:P	cm:i:93	s1:i:1059	s2:i:446	dv:f:0.0301
ERR10439742.3017	18078	417	2289	-	OX578059.1	142895829	15206	17080	45	1874	0	tp:A:P	cm:i:3	s1:i:44	s2:i:0	dv:f:0.1217
