query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR10809407.1387544	28211	1275	28208	+	OY979766.1	136469214	2894	29880	26420	26994	60	26420
ERR10809407.537843	24746	6	24745	-	OY979768.1	55528949	55460528	55485276	24385	24765	0	24385
ERR10809407.1639612	24271	9	24265	-	OY979766.1	136469214	136395496	136419765	23434	24277	60	23434
ERR10809407.1671555	24149	1	24145	+	OY979769.1	45422575	9814	33998	23197	24184	60	23197
ERR10809407.1304338	23104	7	23104	-	OY979769.1	45422575	44684	67788	22853	23115	38	22853
ERR10809407.459006	23932	158	23926	+	OY979769.1	45422575	10442	34221	22843	23784	60	22843
ERR10809407.1097679	23879	4	23871	-	OY979768.1	55528949	31527	55408	22779	23932	60	22779
ERR10809407.1928354	24253	4	24244	-	OY979768.1	55528949	55457232	55481521	22753	24360	0	22753
ERR10809407.1236689	22878	3	22876	-	OY979766.1	136469214	34637	57533	22663	22902	34	22663
ERR10809407.1950030	22739	9	22730	-	OY979768.1	55528949	44127	66855	22518	22742	60	22518
ERR10809407.409693	22608	6	22604	-	OY979768.1	55528949	55475375	55513916	22307	38557	30	22307
ERR10809407.988252	22622	4	22614	-	OY979768.1	55528949	55466236	55488889	22242	22655	48	22242
ERR10809407.1228767	23757	3	23749	-	OY979767.1	119242295	12998	36768	22117	23802	60	22117
ERR10809407.285976	22522	6	22515	-	OY979768.1	55528949	55489202	55511729	22038	22534	60	22038
ERR10809407.1137764	23000	4	22998	-	OY979769.1	45422575	13718	36723	22038	23022	60	22038
ERR10809407.1271018	22145	6	22145	-	OY979766.1	136469214	37567	59714	21979	22155	34	21979
ERR10809407.971259	22099	3	22095	-	OY979768.1	55528949	26394	48494	21672	22103	60	21672
ERR10809407.1972623	22085	9	22076	+	OY979768.1	55528949	865	22925	21342	22078	60	21342
ERR10809407.1546083	21519	4	21514	+	OY979768.1	55528949	8159	29688	21205	21529	60	21205
ERR10809407.1854412	24811	4	24808	-	OY979768.1	55528949	55462665	55487376	21135	25689	20	21135
ERR10809407.1189319	21294	5	21291	+	OY979768.1	55528949	55494326	55515637	20870	21321	60	20870
ERR10809407.1133709	21312	2	21304	-	OY979768.1	55528949	30427	51737	20799	21328	60	20799
ERR10809407.274393	20939	0	20935	-	OY979768.1	55528949	55467743	55488689	20773	20948	47	20773
ERR10809407.1449220	21131	5	21128	-	OY979768.1	55528949	55489687	55510829	20623	21150	60	20623
ERR10809407.146731	21479	4	21470	+	OY979768.1	55528949	55505600	55527116	20426	21544	60	20426
ERR10809407.1324509	21033	0	21024	-	OY979768.1	55528949	55492737	55513814	20423	21077	60	20423
ERR10809407.1040907	20499	5	20499	-	OY979766.1	136469214	136411191	136431669	20361	20495	60	20361
ERR10809407.1428061	20543	5	20538	-	OY979768.1	55528949	55467053	55488542	20228	21494	39	20228
ERR10809407.211457	20770	2	20765	-	OY979768.1	55528949	55464859	55486492	20111	21639	4	20111
ERR10809407.1958575	20438	2	20438	-	OY979769.1	45422575	45375464	45395965	19890	20512	60	19890
ERR10809407.612158	20354	8	20354	+	OY979768.1	55528949	18112	38471	19888	20360	60	19888
ERR10809407.1841808	20335	5	20303	+	OY979766.1	136469214	26339	46616	19812	20329	34	19812
ERR10809407.1156612	20696	18	20687	+	OY979767.1	119242295	119208781	119229458	19788	20679	60	19788
ERR10809407.1025220	20079	7	20070	+	OY979769.1	45422575	2044	29709	19717	27681	60	19717
ERR10809407.682340	20135	0	20131	-	OY979768.1	55528949	13827	33965	19648	20144	60	19648
ERR10809407.547996	19778	6	19774	+	OY979766.1	136469214	136421993	136441781	19646	19792	60	19646
ERR10809407.133858	20041	6	20040	+	OY979768.1	55528949	29665	49698	19615	20042	60	19615
ERR10809407.1018334	20057	7	20054	-	OY979768.1	55528949	55473719	55508955	19568	35251	35	19568
ERR10809407.1640389	19850	2	19827	-	OY979766.1	136469214	41168	79247	19509	38081	4	19509
ERR10809407.564764	19883	0	19880	-	OY979768.1	55528949	55478410	55498292	19462	19898	60	19462
ERR10809407.343641	19457	4	19449	+	OY979766.1	136469214	136422794	136442247	19347	19457	60	19347
ERR10809407.1466566	20368	351	20359	-	OY979768.1	55528949	55469458	55489947	19343	20896	32	19343
ERR10809407.470118	20366	4	20362	+	OY979769.1	45422575	4	20403	19251	20426	48	19251
ERR10809407.1027221	20415	6	20408	-	OY979768.1	55528949	25659	46031	19174	20441	60	19174
ERR10809407.1094340	19520	9	19511	-	OY979766.1	136469214	36295	55787	19048	19529	29	19048
ERR10809407.780734	19224	0	19222	-	OY979769.1	45422575	45365114	45384342	19045	19238	60	19045
ERR10809407.1771942	19446	6	19444	+	OY979767.1	119242295	30123	49605	18997	19482	60	18997
ERR10809407.391696	19000	2	18995	+	OY979769.1	45422575	45378867	45397863	18876	18997	60	18876
ERR10809407.1627223	19730	7	19722	-	OY979769.1	45422575	41138	60886	18853	19792	38	18853
ERR10809407.624490	21808	6	21804	-	OY979769.1	45422575	45390938	45412810	18841	21886	60	18841
ERR10809407.853749	20868	6	20861	-	OY979766.1	136469214	136405085	136425909	18840	20919	60	18840
ERR10809407.1281424	19123	163	19123	-	OY979769.1	45422575	45363078	45382044	18824	18967	60	18824
ERR10809407.1505861	20195	3	20188	-	OY979768.1	55528949	55477982	55513376	18818	35451	36	18818
ERR10809407.1020075	19469	3	19469	+	OY979767.1	119242295	24628	44096	18717	19477	60	18717
ERR10809407.1776370	19790	1	19782	+	OY979769.1	45422575	13088	32925	18683	19843	60	18683
ERR10809407.82001	19141	5	19138	+	OY979768.1	55528949	55483306	55502470	18670	19165	60	18670
ERR10809407.2016030	19157	4	19155	-	OY979768.1	55528949	7115	26285	18634	19194	60	18634
ERR10809407.864936	19569	9	19564	-	OY979769.1	45422575	45358577	45378146	18621	19570	60	18621
ERR10809407.1872066	19728	0	19724	-	OY979767.1	119242295	5794	25490	18596	19743	60	18596
ERR10809407.1518379	19420	6	19412	-	OY979768.1	55528949	55468053	55488295	18587	20305	39	18587
ERR10809407.1615323	19826	32	19820	+	OY979768.1	55528949	5293	25172	18583	19905	60	18583
ERR10809407.2062189	18828	8	18819	-	OY979768.1	55528949	55479130	55513880	18544	34764	35	18544
ERR10809407.1905999	20087	395	20069	-	OY979769.1	45422575	32223	60972	18509	28752	0	18509
ERR10809407.153752	18731	2	18726	+	OY979766.1	136469214	12963	31668	18494	18731	45	18494
ERR10809407.1414371	18957	8	18936	+	OY979769.1	45422575	45384104	45403033	18438	18931	60	18438
ERR10809407.1757517	18541	4	18534	-	OY979766.1	136469214	136434342	136452882	18433	18544	60	18433
ERR10809407.414660	18781	6	18777	-	OY979768.1	55528949	10687	29481	18401	18798	60	18401
ERR10809407.1702202	20166	6	18837	+	OY979768.1	55528949	55479931	55514685	18379	34807	35	18379
ERR10809407.665534	19171	2	19171	-	OY979766.1	136469214	136402169	136421349	18362	19186	60	18362
ERR10809407.1388053	19569	0	19562	-	OY979769.1	45422575	45354895	45374475	18290	19581	60	18290
ERR10809407.413213	18350	4	18349	+	OY979766.1	136469214	136420151	136438505	18277	18354	53	18277
ERR10809407.900366	19830	0	19811	+	OY979767.1	119242295	119195431	119215249	18274	19825	60	18274
ERR10809407.449516	20260	1635	20254	+	OY979766.1	136469214	2894	21488	18268	18627	60	18268
ERR10809407.1074089	19555	9	19550	-	OY979769.1	45422575	45356494	45376033	18252	19558	60	18252
ERR10809407.1337609	22369	3	22365	-	OY979768.1	55528949	55466886	55489204	18248	23311	17	18248
ERR10809407.941012	20260	1	20255	-	OY979768.1	55528949	55471292	55510382	18240	39203	24	18240
ERR10809407.2068903	19399	321	19393	+	OY979766.1	136469214	27211	45689	18225	19102	13	18225
ERR10809407.1655546	21598	1	21594	-	OY979768.1	55528949	55472271	55512890	18198	40862	28	18198
ERR10809407.1322849	19312	7	19303	+	OY979767.1	119242295	13335	32635	18189	19300	60	18189
ERR10809407.1115083	18588	7	18585	-	OY979766.1	136469214	136431075	136449720	18184	18648	60	18184
ERR10809407.1631212	18681	0	18677	-	OY979768.1	55528949	55499675	55518397	18182	18727	60	18182
ERR10809407.1335738	18411	29	18409	+	OY979767.1	119242295	26579	44967	18080	18390	60	18080
ERR10809407.1323275	18285	5	18281	+	OY979768.1	55528949	55494806	55513102	18062	18298	60	18062
ERR10809407.1528635	18099	5	18097	-	OY979769.1	45422575	45372256	45390351	18005	18096	60	18005
ERR10809407.930714	18465	4	18458	-	OY979768.1	55528949	55503043	55521539	18005	18501	60	18005
ERR10809407.1450710	18517	4	18517	+	OY979767.1	119242295	27566	46128	17944	18572	60	17944
ERR10809407.1552806	18014	4	18013	-	OY979766.1	136469214	136435196	136453209	17935	18014	60	17935
ERR10809407.1662952	19387	14	18299	+	OY979768.1	55528949	55480468	55514675	17919	34251	37	17919
ERR10809407.960954	18296	7	18292	-	OY979768.1	55528949	55475989	55494273	17918	18288	60	17918
ERR10809407.439724	21072	7	21061	-	OY979769.1	45422575	45388048	45409152	17912	21145	60	17912
ERR10809407.380359	18913	414	18904	-	OY979768.1	55528949	55476722	55514675	17905	38352	14	17905
ERR10809407.1614016	18399	7	18355	-	OY979766.1	136469214	2894	21283	17865	18394	60	17865
ERR10809407.595437	17941	5	17939	-	OY979766.1	136469214	31890	49836	17857	17946	31	17857
ERR10809407.1892128	18121	4	18120	-	OY979768.1	55528949	55467851	55486822	17839	18990	11	17839
ERR10809407.1241717	17985	7	17985	-	OY979767.1	119242295	119217213	119235211	17833	17999	60	17833
ERR10809407.905642	18431	9	18410	+	OY979768.1	55528949	55499118	55517603	17703	18494	60	17703
ERR10809407.1613345	18063	4	18055	-	OY979766.1	136469214	17891	35938	17613	18078	23	17613
ERR10809407.2016341	17716	4	17711	-	OY979768.1	55528949	55464914	55482621	17613	17711	0	17613
ERR10809407.809477	17960	2	17954	+	OY979768.1	55528949	55480495	55498454	17605	17959	60	17605
ERR10809407.657589	17743	1	17738	-	OY979766.1	136469214	26657	44435	17539	17781	35	17539
ERR10809407.2011201	17866	8	17860	+	OY979769.1	45422575	24806	42685	17492	17883	60	17492
ERR10809407.1675738	17570	0	17570	-	OY979769.1	45422575	45381303	45398877	17447	17575	60	17447
ERR10809407.900936	18796	67	18792	-	OY979767.1	119242295	9866	28639	17412	18778	60	17412
ERR10809407.1082042	18983	5	18978	-	OY979769.1	45422575	45359913	45378922	17403	19040	60	17403
ERR10809407.313598	21480	4	21473	-	OY979768.1	55528949	55469921	55491297	17391	22394	18	17391
ERR10809407.1616235	17527	8	17523	-	OY979769.1	45422575	45378517	45396034	17381	17522	60	17381
ERR10809407.832342	18199	184	18192	+	OY979767.1	119242295	119215487	119233533	17376	18054	60	17376
ERR10809407.1484553	17745	1	17742	-	OY979768.1	55528949	55482139	55499872	17373	17747	60	17373
ERR10809407.611161	18399	1	18395	-	OY979767.1	119242295	8537	26945	17268	18409	60	17268
ERR10809407.1945610	17653	8	17644	-	OY979768.1	55528949	55463450	55481144	17259	17698	0	17259
ERR10809407.2046199	17421	8	17412	-	OY979766.1	136469214	23860	41289	17257	17430	36	17257
ERR10809407.803307	17744	0	17743	-	OY979768.1	55528949	55490308	55508069	17247	17766	60	17247
ERR10809407.2047473	17480	0	17476	+	OY979767.1	119242295	27636	45119	17232	17485	60	17232
ERR10809407.1902860	17703	4	17698	-	OY979768.1	55528949	17604	35319	17219	17716	60	17219
ERR10809407.1723190	17273	8	17267	+	OY979766.1	136469214	136434450	136451720	17195	17270	60	17195
ERR10809407.1236826	17674	0	17669	+	OY979768.1	55528949	22372	40070	17192	17699	60	17192
ERR10809407.995684	20168	2614	20159	+	OY979766.1	136469214	2894	20451	17152	17568	60	17152
ERR10809407.2066177	17344	5	17335	-	OY979768.1	55528949	55502216	55519563	17094	17347	60	17094
ERR10809407.304823	17447	9	17446	-	OY979768.1	55528949	55477768	55495204	17086	17441	60	17086
ERR10809407.138015	17902	9	17895	-	OY979767.1	119242295	6213	24120	17085	17921	60	17085
ERR10809407.1157816	17480	0	17471	-	OY979768.1	55528949	31495	48984	17082	17491	60	17082
ERR10809407.1786329	17389	9	17388	-	OY979769.1	45422575	45374448	45391869	17078	17430	60	17078
ERR10809407.153179	18527	7	18516	-	OY979769.1	45422575	33288	52523	17069	19305	50	17069
ERR10809407.1754595	17975	0	17972	-	OY979768.1	55528949	55473158	55492012	17048	18905	47	17048
ERR10809407.881794	20976	3	20975	-	OY979768.1	55528949	55467322	55487915	17026	21921	36	17026
ERR10809407.599358	18935	9	17313	-	OY979766.1	136469214	2894	20210	17015	17322	60	17015
ERR10809407.249240	18197	695	18178	-	OY979768.1	55528949	55470154	55488488	17004	18364	25	17004
ERR10809407.1178235	18628	491	18619	-	OY979768.1	55528949	55481485	55514675	16992	34021	39	16992
ERR10809407.889404	17707	9	17706	+	OY979766.1	136469214	18479	36238	16937	17795	14	16937
ERR10809407.451782	17248	4	17241	+	OY979767.1	119242295	29752	47009	16896	17258	60	16896
ERR10809407.1237385	18953	9	18949	+	OY979769.1	45422575	45386556	45405479	16850	18991	60	16850
ERR10809407.748509	16976	0	16975	+	OY979766.1	136469214	28214	45200	16843	16993	37	16843
ERR10809407.1955953	17773	2	17764	-	OY979766.1	136469214	136435635	136453516	16835	17897	60	16835
ERR10809407.1221354	16921	9	16916	-	OY979769.1	45422575	45363584	45380494	16831	16910	60	16831
ERR10809407.1861832	18712	5	17131	-	OY979766.1	136469214	2894	20034	16772	17153	60	16772
ERR10809407.859560	16880	0	16875	-	OY979766.1	136469214	44086	60979	16762	16894	32	16762
ERR10809407.1596488	17921	0	17912	-	OY979767.1	119242295	18539	36470	16758	17931	60	16758
ERR10809407.64340	16943	9	16935	-	OY979768.1	55528949	55497340	55514285	16757	16947	60	16757
ERR10809407.651653	17967	1	17950	-	OY979768.1	55528949	55470204	55488569	16752	18846	38	16752
ERR10809407.1486372	17144	6	17138	-	OY979768.1	55528949	55477706	55514650	16750	36956	25	16750
ERR10809407.1783291	17255	0	17251	-	OY979767.1	119242295	27582	44809	16742	17272	60	16742
ERR10809407.1855642	16935	9	16932	+	OY979766.1	136469214	136437151	136454085	16737	16940	60	16737
ERR10809407.766587	18926	8	17364	+	OY979768.1	55528949	55481354	55514675	16735	33367	38	16735
ERR10809407.1188134	17120	5	17078	-	OY979769.1	45422575	31730	48853	16730	17125	60	16730
ERR10809407.109701	17285	0	17276	-	OY979769.1	45422575	45371534	45388862	16724	17346	60	16724
ERR10809407.640707	17429	7	17420	-	OY979768.1	55528949	55475845	55512014	16685	36230	31	16685
ERR10809407.2045319	17698	8	17691	-	OY979769.1	45422575	19007	36750	16675	17772	60	16675
ERR10809407.1828661	18103	3	18100	+	OY979767.1	119242295	119211828	119229956	16670	18158	60	16670
ERR10809407.735415	17127	4	17126	-	OY979768.1	55528949	55476175	55493306	16655	17140	60	16655
ERR10809407.1728936	16761	9	16755	+	OY979768.1	55528949	55494984	55511736	16631	16753	60	16631
ERR10809407.344340	17272	7	17269	+	OY979768.1	55528949	55498842	55516138	16619	17321	60	16619
ERR10809407.2012436	21013	1	21007	-	OY979768.1	55528949	55465220	55485198	16609	21076	0	16609
ERR10809407.184678	17828	8	17828	-	OY979767.1	119242295	119193435	119211261	16607	17828	60	16607
ERR10809407.1309900	18292	6	16866	-	OY979766.1	136469214	2902	19779	16602	16882	60	16602
ERR10809407.577340	17407	9	17403	-	OY979767.1	119242295	119182025	119199418	16590	17394	60	16590
ERR10809407.2000759	20571	147	17050	+	OY979768.1	55528949	55481821	55514675	16587	32892	32	16587
ERR10809407.152398	17011	48	17007	-	OY979768.1	55528949	55470389	55488180	16587	17828	40	16587
ERR10809407.1354440	17505	4	17504	+	OY979768.1	55528949	55505018	55522563	16583	17559	60	16583
ERR10809407.42098	17734	9	17731	+	OY979767.1	119242295	21645	39385	16561	17742	60	16561
ERR10809407.834028	22200	4434	22191	-	OY979768.1	55528949	55481742	55514675	16554	32960	42	16554
ERR10809407.709099	16660	3	16658	-	OY979769.1	45422575	45366598	45383265	16529	16669	60	16529
ERR10809407.1159945	21141	6	20424	-	OY979768.1	55528949	55481821	55513875	16527	35585	41	16527
ERR10809407.1420148	16746	2	16742	+	OY979768.1	55528949	55479599	55512273	16504	32688	40	16504
ERR10809407.2007548	17088	142	17085	+	OY979769.1	45422575	4	16985	16500	16981	12	16500
ERR10809407.1749945	18907	9	18899	+	OY979769.1	45422575	45393206	45412112	16485	18907	60	16485
ERR10809407.544163	16839	3	16833	-	OY979768.1	55528949	55479338	55496175	16467	16837	60	16467
ERR10809407.2029697	22574	2459	20023	-	OY979768.1	55528949	55478918	55511787	16461	32908	41	16461
ERR10809407.594440	16613	7	16611	-	OY979766.1	136469214	136442257	136458882	16437	16625	60	16437
ERR10809407.1081148	16880	7	16873	+	OY979768.1	55528949	55480839	55497713	16431	16884	60	16431
ERR10809407.1196571	17105	0	17102	-	OY979766.1	136469214	33811	50974	16412	17189	32	16412
ERR10809407.436648	17418	30	17415	-	OY979767.1	119242295	8620	26015	16411	17400	60	16411
ERR10809407.1512247	17396	755	17390	-	OY979768.1	55528949	55475260	55492835	16402	17585	49	16402
ERR10809407.208520	18282	679	18282	-	OY979768.1	55528949	55477606	55514675	16384	37509	8	16384
ERR10809407.1715940	16508	5	16505	+	OY979766.1	136469214	136441801	136458328	16327	16527	60	16327
ERR10809407.1446443	16428	8	16424	-	OY979766.1	136469214	136416983	136433403	16311	16421	60	16311
ERR10809407.1543841	16422	2	16419	-	OY979768.1	55528949	49127	65558	16295	16434	60	16295
ERR10809407.1961004	16628	45	16620	-	OY979769.1	45422575	502	17082	16284	16580	18	16284
ERR10809407.1190969	16643	4	16637	+	OY979768.1	55528949	55484868	55501506	16256	16642	60	16256
ERR10809407.1955489	19899	9	19899	-	OY979768.1	55528949	55466831	55486578	16239	20727	7	16239
ERR10809407.1145745	17018	2	16659	-	OY979768.1	55528949	55470204	55487869	16231	17672	28	16231
ERR10809407.1685337	22545	830	22545	-	OY979768.1	55528949	55472772	55492835	16217	22624	0	16217
ERR10809407.382095	16434	154	16426	-	OY979769.1	45422575	45363363	45379633	16167	16275	60	16167
ERR10809407.1399057	16941	7	16933	-	OY979766.1	136469214	136433835	136450769	16137	16981	60	16137
ERR10809407.1285794	17064	8	17058	+	OY979767.1	119242295	119205386	119222439	16128	17055	60	16128
ERR10809407.602975	16441	79	16436	-	OY979768.1	55528949	55475645	55492835	16120	17195	53	16120
ERR10809407.1881295	18482	0	18474	+	OY979769.1	45422575	45399684	45418164	16112	18482	60	16112
ERR10809407.1603220	16252	3	16252	-	OY979768.1	55528949	55474298	55491501	16104	17209	54	16104
ERR10809407.848888	16311	1	16310	-	OY979768.1	55528949	55478232	55514342	16098	36114	27	16098
ERR10809407.1589631	16171	7	16162	-	OY979768.1	55528949	55466831	55482983	16083	16157	0	16083
ERR10809407.1089380	17230	840	17224	-	OY979769.1	45422575	7558	31536	16066	24000	60	16066
ERR10809407.1608138	18556	3	18552	-	OY979769.1	45422575	45396633	45415196	16065	18568	60	16065
ERR10809407.799005	21125	2	17219	+	OY979768.1	55528949	55482406	55514675	16038	33109	24	16038
ERR10809407.1943604	16449	4	16445	-	OY979768.1	55528949	55488959	55505419	16037	16465	60	16037
