query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR11180452.1099506	22301	4946	22295	-	OZ010660.1	60167864	60139199	60157983	14793	18862	0	14793
ERR11180452.1452653	22490	381	22455	-	OZ010661.1	45756477	2271	24414	13696	22145	60	13696
ERR11180452.760080	25004	207	23372	-	OZ010661.1	45756477	2281	25193	13344	23184	60	13344
ERR11180452.25520	19266	4417	19260	-	OZ010660.1	60167864	60142126	60158441	11971	16366	0	11971
ERR11180452.1731045	24872	2417	24864	-	OZ010660.1	60167864	60144920	60167372	11843	22485	13	11843
ERR11180452.975450	23389	1	23300	+	OZ010663.1	42706309	42682864	42706189	11354	23328	60	11354
ERR11180452.816004	23086	1950	23078	-	OZ010660.1	60167864	60144080	60166685	10418	22655	0	10418
ERR11180452.856490	16791	5	14690	+	OZ010660.1	60167864	60144800	60160960	9968	16177	0	9968
ERR11180452.163331	22315	6	19749	+	OZ010660.1	60167864	60145015	60165998	9860	21237	0	9860
ERR11180452.60677	20464	3	19139	+	OZ010660.1	60167864	60146843	60165998	9558	19182	0	9558
ERR11180452.364932	20234	0	20211	+	OZ010663.1	42706309	42684735	42704956	9496	20222	35	9496
ERR11180452.122933	17838	2459	17834	+	OZ010661.1	45756477	2271	17543	9444	15380	60	9444
ERR11180452.610667	20148	824	20144	-	OZ010659.1	60906054	60885699	60905792	9307	20703	0	9307
ERR11180452.732464	16229	15	13939	-	OZ010661.1	45756477	2271	16196	8890	13927	60	8890
ERR11180452.1152679	14983	5	12025	+	OZ010660.1	60167864	60146094	60159586	8691	13511	0	8691
ERR11180452.840031	15226	8	15216	-	OZ010661.1	45756477	0	15217	8292	15218	60	8292
ERR11180452.630884	13949	4	9205	+	OZ010660.1	60167864	60147301	60157983	7397	10701	0	7397
ERR11180452.715274	13767	1856	13762	+	OZ010661.1	45756477	2271	14168	7177	11906	60	7177
ERR11180452.884494	13516	1848	13515	-	OZ010660.1	60167864	60147821	60160960	7006	13159	0	7006
ERR11180452.1554385	18765	0	18721	+	OZ010663.1	42706309	42687331	42706189	6877	18865	10	6877
ERR11180452.1094607	15178	4	15136	+	OZ010659.1	60906054	60889712	60904835	6725	15138	29	6725
ERR11180452.1493401	17934	2805	17925	-	OZ010659.1	60906054	60888340	60904675	6692	16380	0	6692
ERR11180452.2049369	15737	78	15734	-	OZ010659.1	60906054	60890321	60905976	6584	15657	39	6584
ERR11180452.870612	13991	2	9494	+	OZ010660.1	60167864	60148157	60159128	6521	10997	0	6521
ERR11180452.546200	12839	762	10569	-	OZ010661.1	45756477	2271	12082	6476	9813	60	6476
ERR11180452.1022471	16178	5	15874	+	OZ010659.1	60906054	60890016	60905965	6474	16008	30	6474
ERR11180452.104532	11247	1811	11230	+	OZ010661.1	45756477	2271	11690	6461	9419	60	6461
ERR11180452.1338595	17855	104	17849	-	OZ010663.1	42706309	42688060	42706189	6221	18130	9	6221
ERR11180452.77189	16745	75	14866	+	OZ010663.1	42706309	42687774	42702558	6215	14828	4	6215
ERR11180452.1931762	14504	7	14472	+	OZ010659.1	60906054	60890384	60904835	6039	14470	28	6039
ERR11180452.909586	17482	904	17481	-	OZ010663.1	42706309	42688375	42704956	5904	16584	10	5904
ERR11180452.1460189	10053	0	8311	-	OZ010661.1	45756477	2271	10586	5817	8323	60	5817
ERR11180452.1624759	10095	3	8074	-	OZ010661.1	45756477	2271	10346	5671	8076	60	5671
ERR11180452.169301	14056	5	14029	+	OZ010659.1	60906054	60890821	60904835	5606	14037	30	5606
ERR11180452.1980015	18696	1165	18690	-	OZ010663.1	42706309	42688591	42706189	5579	17653	6	5579
ERR11180452.1512236	9921	7	7963	-	OZ010661.1	45756477	2271	10227	5576	7956	60	5576
ERR11180452.1769510	17884	2710	17880	-	OZ010660.1	60167864	60150291	60166685	5559	16640	0	5559
ERR11180452.449247	18729	109	5834	-	OZ010663.1	42706309	9	6441	5520	6439	29	5520
ERR11180452.1786701	15513	496	15508	-	OZ010659.1	60906054	60891084	60905976	5483	15085	34	5483
ERR11180452.1375166	20118	579	18001	+	OZ010659.1	60906054	60885214	60905976	5400	21774	6	5400
ERR11180452.919853	7779	8	7734	-	OZ010661.1	45756477	2271	9997	5359	7726	60	5359
ERR11180452.2054696	16274	1529	16266	-	OZ010660.1	60167864	60153108	60167855	4579	14751	21	4579
ERR11180452.113203	16670	3	13797	+	OZ010663.1	42706309	42688497	42703016	4574	14577	0	4574
ERR11180452.508962	15736	2489	15734	-	OZ010663.1	42706309	42689585	42702787	4550	13250	6	4550
ERR11180452.98731	10851	1782	10850	-	OZ010663.1	42706309	42688653	42698436	4289	9841	0	4289
ERR11180452.258888	8614	2049	8606	+	OZ010661.1	45756477	2271	8838	4221	6570	60	4221
ERR11180452.1708839	15385	8	12281	+	OZ010663.1	42706309	42690094	42702329	4039	12279	2	4039
ERR11180452.367209	14742	1598	14734	-	OZ010663.1	42706309	42690065	42703932	3207	13912	0	3207
ERR11180452.1993469	8563	1370	8560	-	OZ010659.1	60906054	60893373	60900556	2645	7190	1	2645
ERR11180452.1698547	8693	7	4411	+	OZ010659.1	60906054	60893410	60897813	2583	4405	0	2583
ERR11180452.125303	14431	0	10149	+	OZ010660.1	60167864	60154704	60164853	2406	10151	5	2406
ERR11180452.1307243	14721	5	11152	+	OZ010660.1	60167864	60154840	60165998	2367	11158	4	2367
ERR11180452.1780055	15078	4746	15078	-	OZ010660.1	60167864	60155194	60165540	1813	10356	3	1813
ERR11180452.580445	13471	0	9633	+	OZ010660.1	60167864	60155439	60165082	1686	9643	3	1686
ERR11180452.1419774	14892	2816	14889	-	OZ010663.1	42706309	42692579	42704619	1608	12085	0	1608
ERR11180452.155661	15296	3101	15282	-	OZ010660.1	60167864	60155571	60167742	1549	12187	0	1549
ERR11180452.1722179	15075	13634	15075	+	OZ010663.1	42706309	9	1447	1421	1443	23	1421
ERR11180452.1592769	7836	97	7328	-	OZ010659.1	60906054	60898940	60905965	421	7311	5	421
ERR11180452.1372075	18554	5498	15996	-	OZ010660.1	60167864	60157052	60167546	398	10504	0	398
ERR11180452.1256243	13946	1158	7629	-	OZ010660.1	60167864	60160487	60166969	382	6482	0	382
ERR11180452.1328698	16493	3151	14616	-	OZ010663.1	42706309	42694070	42704619	375	11477	0	375
ERR11180452.1495518	10643	1962	9628	-	OZ010659.1	60906054	60898483	60905976	348	7812	0	348
ERR11180452.668882	17107	249	7238	+	OZ010663.1	42706309	42694528	42701642	330	7114	0	330
ERR11180452.1228854	13627	1565	12052	-	OZ010660.1	60167864	60157281	60167784	324	10508	0	324
ERR11180452.1259419	16900	8054	16481	+	OZ010659.1	60906054	60897570	60905976	317	8796	2	317
ERR11180452.340047	13546	3501	13286	+	OZ010663.1	42706309	42696360	42706189	307	9855	0	307
ERR11180452.276259	10983	8	9598	+	OZ010660.1	60167864	60158884	60167546	306	9595	0	306
ERR11180452.463110	8421	317	4598	-	OZ010663.1	42706309	42701627	42706189	277	4565	0	277
ERR11180452.359302	10322	1837	9319	+	OZ010659.1	60906054	60898711	60905976	274	7560	0	274
ERR11180452.1007168	8990	216	7894	+	OZ010663.1	42706309	42698421	42706189	262	7768	0	262
ERR11180452.539723	9298	120	6802	+	OZ010659.1	60906054	60899398	60905976	250	6692	1	250
ERR11180452.238852	11458	2770	8656	-	OZ010663.1	42706309	42700253	42706189	247	5942	0	247
ERR11180452.703210	9698	2271	6199	-	OZ010663.1	42706309	42702085	42706189	247	4104	0	247
ERR11180452.1636411	9956	549	8390	+	OZ010659.1	60906054	60898483	60905976	247	7977	1	247
ERR11180452.1970615	8499	1426	4602	-	OZ010660.1	60167864	60163922	60167099	239	3177	0	239
ERR11180452.236607	8424	1150	4356	-	OZ010659.1	60906054	60903286	60905976	239	3263	3	239
ERR11180452.777725	12478	3414	6963	-	OZ010663.1	42706309	42701398	42704956	225	3558	0	225
ERR11180452.885335	10685	1619	5355	-	OZ010663.1	42706309	42702543	42706189	217	3737	0	217
ERR11180452.17314	14180	76	5993	+	OZ010660.1	60167864	60161632	60167546	214	5922	3	214
ERR11180452.1767454	8284	32	3024	+	OZ010663.1	42706309	42695444	42698436	210	2992	0	210
ERR11180452.1119483	10765	109	5155	+	OZ010663.1	42706309	42697047	42702100	210	5053	0	210
ERR11180452.1164753	9606	497	4108	-	OZ010659.1	60906054	60902141	60905792	202	3705	1	202
ERR11180452.607823	9712	3616	9042	-	OZ010660.1	60167864	60162319	60167734	195	5428	0	195
ERR11180452.437011	11456	177	2940	+	OZ010660.1	60167864	60159571	60162334	195	2763	0	195
ERR11180452.1523858	13121	199	4563	+	OZ010660.1	60167864	60158426	60162792	195	4366	0	195
ERR11180452.810341	13868	11	4832	+	OZ010663.1	42706309	42696589	42701413	195	4826	0	195
ERR11180452.504466	10748	546	3130	-	OZ010659.1	60906054	60903286	60905976	193	2801	3	193
ERR11180452.811135	12255	461	3314	-	OZ010659.1	60906054	60903286	60905976	186	2953	0	186
ERR11180452.1996922	10760	103	2865	+	OZ010660.1	60167864	60161403	60164166	180	2763	0	180
ERR11180452.478553	11463	84	2725	-	OZ010659.1	60906054	60903286	60905976	177	2721	0	177
ERR11180452.1020654	14704	824	4062	-	OZ010659.1	60906054	60902370	60905698	166	3350	0	166
ERR11180452.274079	7552	316	2917	-	OZ010659.1	60906054	60903286	60905976	164	2729	3	164
ERR11180452.1965504	11204	2714	5192	-	OZ010659.1	60906054	60903515	60905976	149	2500	0	149
ERR11180452.706390	9439	143	2219	+	OZ010663.1	42706309	42700253	42702329	135	2077	0	135
ERR11180452.1549596	13944	2986	4833	+	OZ010660.1	60167864	60163006	60164853	135	1847	0	135
ERR11180452.1850814	7811	4223	7077	+	OZ010659.1	60906054	60903057	60905976	131	2929	1	131
