query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR10677848.334189	24130	9	24127	-	OY482664.1	65380999	65351400	65375511	23231	24131	60	23231
ERR10677848.2104827	23261	0	23256	-	OY482664.1	65380999	22166	45418	22992	23269	60	22992
ERR10677848.1934585	22601	8	22592	-	OY482665.1	61892324	61858229	61880815	22279	22599	60	22279
ERR10677848.1886481	22338	5	22338	+	OY482666.1	50647002	21744	44084	22052	22345	60	22052
ERR10677848.1712335	22966	21	22958	+	OY482666.1	50647002	50604571	50627495	21858	22965	60	21858
ERR10677848.45438	23335	14	23326	+	OY482664.1	65380999	9789	33095	21147	23320	60	21147
ERR10677848.2095492	21294	5	21289	-	OY482665.1	61892324	61829456	61850746	21140	21292	60	21140
ERR10677848.705077	21316	2	21310	-	OY482666.1	50647002	50579540	50600844	20945	21323	60	20945
ERR10677848.1528867	21359	7	21358	-	OY482667.1	38591505	38539044	38560400	20854	21360	60	20854
ERR10677848.1318522	20976	2	20975	-	OY482666.1	50647002	50578540	50599500	20649	20977	60	20649
ERR10677848.2212353	21281	6	21274	+	OY482664.1	65380999	65339236	65360490	20512	21290	60	20512
ERR10677848.148987	20728	2	20721	-	OY482664.1	65380999	49027	69748	20231	20822	60	20231
ERR10677848.799972	23361	4	23352	-	OY482668.1	30660526	30634805	30658085	20134	23367	60	20134
ERR10677848.411134	22318	16	22311	+	OY482666.1	50647002	15411	37666	20058	22364	60	20058
ERR10677848.210407	21210	1	21189	-	OY482666.1	50647002	35683	56799	20032	21216	60	20032
ERR10677848.338757	21424	0	21416	+	OY482666.1	50647002	50617662	50639078	20018	21431	60	20018
ERR10677848.172084	20155	2	20153	+	OY482664.1	65380999	19180	39315	19891	20157	60	19891
ERR10677848.471592	24277	14	21138	-	OY482666.1	50647002	21325	42355	19846	21167	60	19846
ERR10677848.170925	22454	1	22445	-	OY482665.1	61892324	33849	56281	19482	22494	60	19482
ERR10677848.527322	21703	6	21703	-	OY482668.1	30660526	15944	37643	19456	21706	60	19456
ERR10677848.502849	19883	3	19880	-	OY482667.1	38591505	38538959	38558838	19354	19888	60	19354
ERR10677848.740137	19465	0	19465	-	OY482665.1	61892324	61827334	61846812	19315	19480	60	19315
ERR10677848.129036	19431	2	19423	-	OY482666.1	50647002	50578382	50597802	19205	19425	60	19205
ERR10677848.704729	19608	8	19599	+	OY482666.1	50647002	28964	48574	19178	19650	60	19178
ERR10677848.1513638	19431	4	19427	-	OY482665.1	61892324	61843780	61863207	19118	19428	60	19118
ERR10677848.1016257	21086	0	21063	+	OY482668.1	30660526	11148	32218	19112	21074	60	19112
ERR10677848.1107725	19316	2	19310	-	OY482666.1	50647002	21407	40717	19058	19314	60	19058
ERR10677848.915779	19879	8	19871	-	OY482666.1	50647002	50606445	50626720	18908	20401	60	18908
ERR10677848.28493	19326	7	19321	+	OY482666.1	50647002	30025	49363	18893	19376	60	18893
ERR10677848.2245031	20083	8	20051	-	OY482667.1	38591505	38538507	38558468	18863	20055	60	18863
ERR10677848.306132	22439	8	22414	+	OY482668.1	30660526	30628663	30651005	18754	22420	60	18754
ERR10677848.70240	19835	8	19834	+	OY482666.1	50647002	29500	49309	18736	19881	60	18736
ERR10677848.1643660	19498	17	19489	+	OY482666.1	50647002	16004	35484	18711	19481	60	18711
ERR10677848.1904198	18586	9	18586	-	OY482665.1	61892324	61859878	61878459	18457	18584	60	18457
ERR10677848.950037	21084	8	21078	-	OY482667.1	38591505	26611	48255	18454	21721	60	18454
ERR10677848.537194	20950	7	20941	+	OY482664.1	65380999	7145	28088	18401	20964	60	18401
ERR10677848.917347	18699	5	18699	-	OY482666.1	50647002	22773	41460	18387	18724	60	18387
ERR10677848.1800824	18635	0	18566	-	OY482664.1	65380999	17184	35746	18217	18572	60	18217
ERR10677848.552381	20421	0	20418	+	OY482667.1	38591505	22023	42995	18192	21027	60	18192
ERR10677848.478239	21690	2	21687	-	OY482668.1	30660526	30638821	30660524	18192	21715	60	18192
ERR10677848.91714	20639	72	20637	-	OY482668.1	30660526	12576	32465	18163	20593	60	18163
ERR10677848.540822	18283	4	18283	-	OY482665.1	61892324	61827165	61845449	18150	18288	60	18150
ERR10677848.67903	19332	6	19325	-	OY482668.1	30660526	48656	67984	18046	19512	60	18046
ERR10677848.1212242	18289	5	18287	+	OY482666.1	50647002	50600413	50618700	17968	18300	60	17968
ERR10677848.748519	19534	419	19530	-	OY482666.1	50647002	50627916	50646994	17963	19117	60	17963
ERR10677848.2085152	18254	4	18245	-	OY482667.1	38591505	38542522	38560767	17963	18246	60	17963
