query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR9630942.1600304	24481	7	24428	-	OX122894.2	43511200	4414	28803	21755	24445	60	21755
ERR9630942.1369006	23814	0	23775	-	OX122894.2	43511200	4414	28177	21339	23788	60	21339
ERR9630942.301616	24536	7	24441	+	OX122893.2	44096799	44068438	44092847	20852	24444	60	20852
ERR9630942.389699	25718	4	25680	-	OX122890.1	82471506	3292	28848	20245	25715	60	20245
ERR9630942.381773	23094	5	23064	-	OX122894.2	43511200	4414	27465	19398	23147	60	19398
ERR9630942.1028052	24688	1843	24687	+	OX122893.2	44096799	3648	26353	18938	22858	60	18938
ERR9630942.789169	25100	878	25092	+	OX122890.1	82471506	2144	26302	18827	24222	60	18827
ERR9630942.288287	22145	0	22118	-	OX122893.2	44096799	3648	25686	18823	22128	60	18823
ERR9630942.625345	20188	3	20081	-	OX122894.2	43511200	4450	24532	18323	20090	60	18323
ERR9630942.1461918	20788	3	20753	-	OX122893.2	44096799	3648	24384	17877	20759	60	17877
ERR9630942.257384	19394	1	19319	-	OX122891.2	79350654	13061	32371	17686	19332	60	17686
ERR9630942.238342	24838	0	23218	-	OX122892.1	44405252	1547	24743	17582	23234	60	17582
ERR9630942.397697	21573	583	21569	+	OX122893.2	44096799	3171	24120	17561	20989	60	17561
ERR9630942.370211	24052	1351	24045	+	OX122890.1	82471506	2144	24813	17408	22705	60	17408
ERR9630942.369425	21719	6	21666	-	OX122890.1	82471506	3292	24920	17337	21670	60	17337
ERR9630942.626714	21610	1	20404	-	OX122893.2	44096799	3464	23815	17184	20407	60	17184
ERR9630942.34553	20623	6	20592	-	OX122893.2	44096799	3648	24212	17106	20632	60	17106
ERR9630942.1262139	20682	359	20678	+	OX122893.2	44096799	3171	23485	17037	20330	60	17037
ERR9630942.779995	18448	1	18412	-	OX122894.2	43511200	4414	22820	16671	18417	60	16671
ERR9630942.363505	20681	963	20679	-	OX122894.2	43511200	43490004	43509701	16585	19726	60	16585
ERR9630942.1030224	19504	2	19458	-	OX122893.2	44096799	3648	23062	16556	19457	60	16556
ERR9630942.890428	21716	1978	21710	+	OX122889.2	91187844	665	20390	16429	19739	60	16429
ERR9630942.1546072	18901	6	18338	+	OX122892.1	44405252	44379591	44398366	16394	18796	60	16394
ERR9630942.429326	19075	3	18558	+	OX122892.1	44405252	44379389	44398366	16341	19025	60	16341
ERR9630942.795907	19304	7	19262	-	OX122894.2	43511200	4414	23640	16331	19306	60	16331
ERR9630942.1409885	21700	28	20436	-	OX122889.2	91187844	665	20962	16129	20455	60	16129
ERR9630942.527133	20211	1778	20206	+	OX122894.2	43511200	3710	22130	16013	18433	60	16013
ERR9630942.569587	22873	21	22812	+	OX122891.2	79350654	79324734	79347331	15937	22806	60	15937
ERR9630942.612790	21369	170	21369	+	OX122890.1	82471506	2605	23734	15846	21228	60	15846
ERR9630942.1071228	21124	0	21056	+	OX122891.2	79350654	79326291	79347331	15676	21061	60	15676
ERR9630942.904383	20707	8	20656	-	OX122892.1	44405252	2025	22657	15616	20654	60	15616
ERR9630942.275599	21195	5	21159	+	OX122891.2	79350654	79326192	79347331	15539	21180	60	15539
ERR9630942.1135012	16527	4	16412	+	OX122894.2	43511200	43491020	43507422	15530	16410	60	15530
ERR9630942.1138092	19783	63	19700	-	OX122890.1	82471506	3292	22883	15464	19643	60	15464
ERR9630942.200995	21978	1059	21977	+	OX122892.1	44405252	1555	22345	15321	20930	60	15321
ERR9630942.1258913	19315	9	19253	-	OX122890.1	82471506	3292	22517	15155	19253	60	15155
ERR9630942.1211035	22368	6	18523	-	OX122893.2	44096799	3648	22090	15076	18539	60	15076
ERR9630942.1018268	20577	3294	20573	-	OX122892.1	44405252	44380681	44398366	15031	17747	60	15031
ERR9630942.1038200	16474	7	16317	+	OX122894.2	43511200	43491126	43507378	14955	16324	60	14955
ERR9630942.220660	16657	0	16642	-	OX122894.2	43511200	4414	21043	14898	16644	60	14898
ERR9630942.686596	20585	4	18930	-	OX122889.2	91187844	716	19482	14864	18928	60	14864
ERR9630942.403284	20754	3434	20745	-	OX122892.1	44405252	44380642	44398366	14813	17797	60	14813
ERR9630942.1521242	17428	5	17368	-	OX122894.2	43511200	4414	21653	14769	17367	60	14769
ERR9630942.848361	19637	1920	19637	+	OX122893.2	44096799	3467	21169	14752	17722	60	14752
ERR9630942.949780	18660	0	18641	-	OX122890.1	82471506	3292	21932	14746	18644	60	14746
ERR9630942.690259	17706	0	17692	-	OX122893.2	44096799	3648	21319	14739	17705	60	14739
ERR9630942.36617	20956	1230	20956	+	OX122890.1	82471506	2151	21934	14666	19801	60	14666
ERR9630942.824052	17414	8	17349	-	OX122893.2	44096799	3648	20942	14324	17345	60	14324
ERR9630942.932271	20449	2666	20442	+	OX122889.2	91187844	665	18382	14310	17778	60	14310
ERR9630942.621104	18154	2	18114	-	OX122890.1	82471506	3292	21400	14203	18116	60	14203
ERR9630942.1313907	19444	1	19385	-	OX122892.1	44405252	2025	21372	14013	19402	60	14013
ERR9630942.1530045	19578	3	19532	+	OX122891.2	79350654	79327799	79347320	13949	19547	60	13949
ERR9630942.80911	20242	4307	20239	-	OX122892.1	44405252	44381994	44398366	13946	16400	60	13946
ERR9630942.832610	20528	4	17106	-	OX122889.2	91187844	397	17498	13855	17107	60	13855
ERR9630942.1293005	15527	0	15482	-	OX122891.2	79350654	13061	28520	13655	15503	60	13655
ERR9630942.1033502	19440	9	19344	-	OX122892.1	44405252	2061	21334	13595	19367	60	13595
ERR9630942.959212	18915	14	18850	-	OX122892.1	44405252	2025	20790	13476	18841	60	13476
ERR9630942.1458869	14424	2	14403	+	OX122894.2	43511200	43493163	43507562	13460	14402	60	13460
ERR9630942.1532998	16582	4	16556	-	OX122893.2	44096799	3648	20146	13347	16561	60	13347
ERR9630942.1513250	18475	1769	18467	+	OX122893.2	44096799	3648	20275	13315	16718	60	13315
ERR9630942.305356	17210	907	17203	-	OX122894.2	43511200	43493412	43509701	13212	16309	60	13212
ERR9630942.1175732	22621	8	21609	-	OX122891.2	79350654	1951	23432	13132	21615	60	13132
ERR9630942.1472815	22588	9	22388	-	OX122895.1	36459576	4453	26782	13074	22393	60	13074
ERR9630942.158549	14519	6	14463	-	OX122891.2	79350654	13061	27509	13033	14460	60	13033
ERR9630942.1297254	18718	7	18188	+	OX122893.2	44096799	44076565	44094753	12959	18206	60	12959
ERR9630942.268092	20793	2398	20784	+	OX122892.1	44405252	2025	20357	12917	18404	60	12917
ERR9630942.163935	15482	6	15419	-	OX122893.2	44096799	3648	19056	12810	15414	60	12810
ERR9630942.649874	17529	7	17469	+	OX122891.2	79350654	79329872	79347331	12660	17466	60	12660
ERR9630942.1085869	17111	1886	17110	+	OX122891.2	79350654	13061	28131	12622	15237	60	12622
ERR9630942.1126559	17161	3009	17158	+	OX122891.2	79350654	13061	27178	12545	14156	60	12545
ERR9630942.513099	18400	3055	18396	+	OX122893.2	44096799	3467	18787	12435	15349	60	12435
ERR9630942.682096	13830	4	13763	-	OX122891.2	79350654	13061	26809	12319	13762	60	12319
ERR9630942.1620093	16202	8	16189	-	OX122890.1	82471506	3292	19456	12252	16181	60	12252
ERR9630942.938414	16139	7	16088	+	OX122893.2	44096799	44076856	44092847	12232	16089	60	12232
ERR9630942.726877	13243	0	13124	+	OX122894.2	43511200	43494299	43507422	12230	13132	60	12230
ERR9630942.293138	14671	2	14647	-	OX122894.2	43511200	4414	18973	12202	14658	60	12202
ERR9630942.487470	20776	2746	20773	+	OX122892.1	44405252	1547	19518	12169	18038	60	12169
ERR9630942.469545	18797	9	17189	+	OX122893.2	44096799	44077503	44094667	12121	17191	60	12121
ERR9630942.1376351	17645	2775	17637	+	OX122889.2	91187844	716	15567	12052	14867	60	12052
ERR9630942.267887	12989	0	12871	+	OX122894.2	43511200	43494552	43507422	12046	12873	60	12046
ERR9630942.1028219	16554	1563	16554	+	OX122893.2	44096799	3171	18164	12015	14993	60	12015
ERR9630942.758023	17882	9	17875	+	OX122894.2	43511200	9	17869	12005	17872	60	12005
ERR9630942.146329	17068	4	17026	+	OX122891.2	79350654	79330348	79347331	11920	17034	60	11920
ERR9630942.1372207	15744	2	15726	-	OX122890.1	82471506	3292	19009	11793	15729	60	11793
ERR9630942.538930	17776	989	17769	+	OX122890.1	82471506	2151	18952	11747	16841	60	11747
ERR9630942.151031	18619	3593	18615	-	OX122894.2	43511200	43494520	43509548	11709	15072	60	11709
ERR9630942.502966	13601	9	13536	-	OX122891.2	79350654	13072	26554	11707	13545	60	11707
ERR9630942.1376932	16336	8	14809	-	OX122889.2	91187844	397	15177	11667	14812	60	11667
ERR9630942.309499	18403	1519	18400	+	OX122892.1	44405252	2025	18879	11606	16902	60	11606
ERR9630942.124817	17809	4	14435	-	OX122889.2	91187844	665	15080	11553	14435	60	11553
ERR9630942.1345928	14419	0	13893	+	OX122892.1	44405252	44384076	44398366	11469	14362	60	11469
ERR9630942.986304	14841	3	14802	-	OX122893.2	44096799	3648	18372	11358	14812	60	11358
ERR9630942.960141	15857	760	15834	-	OX122894.2	43511200	43494660	43509606	11264	15086	60	11264
ERR9630942.529313	17239	1062	17230	+	OX122890.1	82471506	2120	18345	11236	16262	60	11236
ERR9630942.144640	14957	2	13174	-	OX122894.2	43511200	4059	17224	11153	13174	60	11153
ERR9630942.1424722	17850	5	16453	+	OX122893.2	44096799	44078469	44094884	11144	16454	60	11144
ERR9630942.659538	15219	2413	15215	-	OX122892.1	44405252	44385109	44398366	11124	13261	60	11124
ERR9630942.1112129	12833	3	12770	-	OX122894.2	43511200	4414	17179	11075	12772	60	11075
ERR9630942.1609431	17192	4046	17118	-	OX122892.1	44405252	44384848	44398366	11072	13551	60	11072
ERR9630942.471066	16185	6	16131	-	OX122892.1	44405252	2061	18161	11060	16134	60	11060
ERR9630942.789430	13173	1	12651	+	OX122892.1	44405252	44385262	44398366	11009	13110	60	11009
ERR9630942.524530	16764	3683	16764	+	OX122894.2	43511200	3972	17043	10973	13082	60	10973
ERR9630942.221831	13957	39	13433	+	OX122892.1	44405252	44384638	44398366	10908	13853	60	10908
ERR9630942.817315	14810	5	14760	-	OX122890.1	82471506	3292	18047	10871	14757	60	10871
ERR9630942.1158860	12941	8	12423	+	OX122892.1	44405252	44385499	44398366	10772	12875	60	10772
ERR9630942.1071734	16216	8	13770	-	OX122889.2	91187844	397	14161	10767	13769	60	10767
ERR9630942.1398917	14063	392	14057	+	OX122893.2	44096799	3171	16830	10762	13666	60	10762
ERR9630942.276934	16467	885	16458	+	OX122890.1	82471506	2088	17761	10731	15760	60	10731
ERR9630942.1454332	13878	197	13878	+	OX122894.2	43511200	3207	16796	10726	13684	60	10726
ERR9630942.408736	17864	1590	17862	+	OX122892.1	44405252	1627	17787	10718	16275	60	10718
ERR9630942.1069548	14483	1	14429	-	OX122890.1	82471506	3292	17717	10544	14430	60	10544
ERR9630942.468891	14477	0	14408	-	OX122890.1	82471506	3292	17689	10531	14408	60	10531
ERR9630942.30643	15987	15	13803	-	OX122889.2	91187844	716	14427	10466	13799	60	10466
ERR9630942.522193	14327	6	14271	-	OX122890.1	82471506	3292	17555	10379	14268	60	10379
ERR9630942.1000420	15353	5	15291	-	OX122892.1	44405252	2025	17304	10332	15289	60	10332
