query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR6412038.2323980	20741	0	20656	-	OU342942.1	42634267	2324	22958	20029	20671	60	20029
ERR6412038.1769545	20678	852	20672	+	OU342941.1	47577084	2806	22622	18879	19824	60	18879
ERR6412038.1145606	18828	6	18733	-	OU342942.1	42634267	2324	20957	17645	18742	60	17645
ERR6412038.1259329	19936	0	19549	-	OU342942.1	42634267	2337	21948	17307	20299	60	17307
ERR6412038.1616291	18341	770	18332	-	OU342945.1	34544964	34524069	34541614	17292	17567	60	17292
ERR6412038.1213947	21226	1	21178	+	OU342942.1	42634267	42602353	42632149	17257	32184	60	17257
ERR6412038.964091	23350	214	23291	+	OU342942.1	42634267	42602127	42632149	17207	35024	60	17207
ERR6412038.551168	19559	1637	19557	+	OU342944.1	34841267	1580	19481	17162	17933	60	17162
ERR6412038.458044	18351	5	18312	+	OU342942.1	42634267	42613909	42632149	16920	18347	60	16920
ERR6412038.382631	17052	8	16976	-	OU342942.1	42634267	2324	19271	16493	16969	60	16493
ERR6412038.199539	17911	6	17888	+	OU342942.1	42634267	42601984	42632149	16344	30692	60	16344
ERR6412038.654540	18673	7	18644	+	OU342941.1	47577084	47557979	47576621	15800	18648	60	15800
ERR6412038.2180223	16986	956	16986	-	OU342945.1	34544964	34525629	34541628	15678	16038	60	15678
ERR6412038.530464	19265	2539	19263	-	OU342946.1	31209118	31189252	31205929	15508	16743	60	15508
ERR6412038.836522	17251	3	15681	+	OU342945.1	34544964	34525960	34541614	15377	15684	60	15377
ERR6412038.2285141	18924	2299	18917	-	OU342945.1	34544964	34525157	34541614	15353	16625	60	15353
ERR6412038.1788282	16933	1089	16924	-	OU342945.1	34544964	34525840	34541614	15289	15851	60	15289
ERR6412038.1789496	17718	4	17644	+	OU342944.1	34841267	34822198	34839884	15285	17723	60	15285
ERR6412038.535850	16655	605	16655	+	OU342941.1	47577084	2806	18856	15151	16054	60	15151
ERR6412038.45541	16569	806	16561	+	OU342946.1	31209118	3336	19070	15135	15765	60	15135
ERR6412038.1199597	17167	4	17128	+	OU342943.1	41012438	40983227	41000273	15087	17574	60	15087
ERR6412038.2210978	19066	2481	19065	+	OU342944.1	34841267	8083	24456	15006	16645	60	15006
ERR6412038.1912009	17951	990	17951	-	OU342944.1	34841267	34822807	34839749	14931	16978	60	14931
