query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR9924614.1615510	25144	9	25095	+	OX276331.1	39288891	39258914	39283878	23240	25113	60	23240
ERR9924614.1060137	22149	3	21256	+	OX276332.1	39234617	39201729	39222257	19495	21295	8	19495
ERR9924614.92994	18698	3	18546	+	OX276333.1	26735716	26709725	26732007	17472	22419	50	17472
ERR9924614.182652	17825	12	17693	+	OX276327.1	94538841	94520939	94538615	17444	17695	3	17444
ERR9924614.721670	16888	3	16841	+	OX276332.1	39234617	39187990	39204828	16722	16839	0	16722
ERR9924614.727690	18610	14	18609	+	OX276330.1	47475851	6718	25290	16546	18616	60	16546
ERR9924614.1891875	19834	1480	19829	+	OX276331.1	39288891	25	18250	16283	18365	60	16283
ERR9924614.1374982	16048	4	16026	-	OX276332.1	39234617	2801	18828	15947	16027	60	15947
ERR9924614.276419	16014	2	16005	+	OX276333.1	26735716	26711308	26731038	15851	19747	58	15851
ERR9924614.1695975	18733	0	18632	-	OX276328.1	64010702	10231	31043	15396	21472	60	15396
ERR9924614.1224159	19770	1730	19763	-	OX276333.1	26735716	26717775	26735700	15062	18119	60	15062
ERR9924614.1390070	20329	4318	20329	-	OX276332.1	39234617	39206798	39222595	14899	16033	0	14899
ERR9924614.1011914	15725	9	15717	+	OX276332.1	39234617	1651	17319	14673	15747	60	14673
ERR9924614.683182	14571	7	14563	+	OX276333.1	26735716	26716439	26730997	14298	14576	60	14298
ERR9924614.1785583	18972	9	18058	+	OX276333.1	26735716	26713330	26735609	14226	22868	42	14226
ERR9924614.1893840	14231	1	14192	+	OX276331.1	39288891	39269666	39283878	14109	14212	60	14109
ERR9924614.1058839	15991	1931	15991	-	OX276332.1	39234617	39191082	39205077	13777	14061	0	13777
ERR9924614.1518979	13791	1	13790	-	OX276331.1	39288891	3369	17155	13701	13789	60	13701
ERR9924614.790140	13851	3	13843	+	OX276332.1	39234617	39191005	39204828	13675	13850	0	13675
ERR9924614.1544770	17420	2366	17413	+	OX276331.1	39288891	26153	41200	13553	15060	13	13553
ERR9924614.1037579	16177	8	16140	+	OX276331.1	39288891	39270893	39287623	13399	17057	60	13399
ERR9924614.987831	19390	18	19319	-	OX276333.1	26735716	9140	28342	13212	19322	60	13212
ERR9924614.1653596	14825	0	14661	-	OX276331.1	39288891	26153	40809	13167	14673	14	13167
ERR9924614.590108	18702	1111	18694	-	OX276333.1	26735716	26713967	26735620	13057	22318	30	13057
ERR9924614.843914	13111	6	13061	-	OX276332.1	39234617	37628	50672	12963	13055	0	12963
ERR9924614.227927	18183	4	16114	+	OX276331.1	39288891	39272799	39288883	12874	16134	60	12874
ERR9924614.676578	15518	7	15518	+	OX276331.1	39288891	39271477	39287479	12820	16254	60	12820
ERR9924614.544024	15296	9	15295	-	OX276331.1	39288891	39271347	39286903	12776	15897	60	12776
ERR9924614.459949	15701	61	15693	-	OX276331.1	39288891	39271336	39287347	12649	16244	60	12649
ERR9924614.1283258	12747	3	12741	-	OX276331.1	39288891	3415	16156	12645	12746	60	12645
ERR9924614.1573472	12796	6	12762	+	OX276331.1	39288891	39271098	39283878	12593	12787	60	12593
ERR9924614.1306043	17646	3	13731	-	OX276330.1	47475851	27642	41230	12585	13730	3	12585
ERR9924614.1428208	16234	2257	16230	+	OX276331.1	39288891	26153	40134	12566	13983	13	12566
ERR9924614.210763	12557	9	12535	+	OX276332.1	39234617	39192308	39204828	12441	12534	0	12441
ERR9924614.1377897	17333	4926	17324	+	OX276331.1	39288891	27945	40347	12216	12403	1	12216
ERR9924614.948155	12326	1	12312	+	OX276333.1	26735716	26714989	26731038	12192	16059	52	12192
ERR9924614.798149	14346	9	12477	-	OX276331.1	39288891	8507	20952	12186	12474	43	12186
ERR9924614.519326	15036	4	15029	-	OX276331.1	39288891	39272188	39287539	12101	15646	60	12101
ERR9924614.191402	16058	134	16058	-	OX276331.1	39288891	39272378	39288406	12096	16544	60	12096
ERR9924614.831391	18560	319	18553	+	OX276331.1	39288891	116	20458	12090	21261	35	12090
ERR9924614.452853	13916	792	13914	-	OX276332.1	39234617	39191965	39205034	11933	13268	0	11933
ERR9924614.1505453	13392	1263	13389	-	OX276332.1	39234617	39192828	39204943	11861	12137	0	11861
ERR9924614.1437015	11606	6	11598	+	OX276331.1	39288891	39272317	39283909	11513	11593	60	11513
ERR9924614.452153	11763	9	11756	-	OX276330.1	47475851	27774	39509	11472	11747	2	11472
ERR9924614.350809	12566	6	11896	-	OX276331.1	39288891	8507	20384	11389	11947	41	11389
ERR9924614.1168502	11426	0	11416	-	OX276332.1	39234617	2801	14216	11387	11416	60	11387
ERR9924614.36891	12379	933	12378	-	OX276332.1	39234617	39187713	39199214	11359	11501	0	11359
ERR9924614.431534	15516	2937	15514	-	OX276332.1	39234617	39174902	39187547	11262	12649	0	11262
ERR9924614.1817983	16337	4830	16332	+	OX276331.1	39288891	27945	39428	11224	11504	1	11224
ERR9924614.1235063	11383	8	11378	-	OX276330.1	47475851	27758	39116	11102	11370	3	11102
ERR9924614.243448	13861	1	13858	+	OX276331.1	39288891	187	14054	10986	13960	60	10986
ERR9924614.1762158	10971	0	10952	-	OX276332.1	39234617	2833	13783	10929	10952	60	10929
ERR9924614.1066336	14135	2822	14130	+	OX276331.1	39288891	8507	19811	10900	11364	39	10900
ERR9924614.816472	11189	4	11057	-	OX276331.1	39288891	27945	38996	10888	11053	2	10888
ERR9924614.314251	10966	7	10951	-	OX276331.1	39288891	3369	14313	10869	10944	60	10869
ERR9924614.215869	13348	2	13265	-	OX276328.1	64010702	10231	25684	10833	16104	60	10833
ERR9924614.353808	11025	3	11025	-	OX276330.1	47475851	27774	38785	10763	11022	3	10763
ERR9924614.1537773	14869	1859	14869	+	OX276328.1	64010702	10231	25445	10762	15841	60	10762
ERR9924614.1155202	11066	5	11039	+	OX276332.1	39234617	39211294	39222338	10755	11058	0	10755
ERR9924614.812373	10818	7	10752	-	OX276332.1	39234617	37628	48371	10719	10746	0	10719
ERR9924614.105638	10744	7	10730	-	OX276332.1	39234617	2801	13524	10702	10723	60	10702
ERR9924614.30077	13036	12	12929	-	OX276328.1	64010702	10231	25353	10666	15749	60	10666
ERR9924614.1504659	12957	86	12956	-	OX276333.1	26735716	26722513	26735374	10637	12873	60	10637
ERR9924614.1757306	12117	1	11986	-	OX276331.1	39288891	26153	38147	10581	11996	16	10581
ERR9924614.110072	14086	3149	14085	+	OX276331.1	39288891	8507	19442	10549	10991	41	10549
ERR9924614.1489080	10539	7	10510	+	OX276332.1	39234617	39194323	39204828	10348	10526	0	10348
ERR9924614.392208	13180	2486	13174	+	OX276331.1	39288891	8507	19202	10305	10744	43	10305
ERR9924614.889659	14321	1131	14320	-	OX276331.1	39288891	39275680	39288883	10137	13222	60	10137
ERR9924614.786096	15446	5103	15442	-	OX276332.1	39234617	39194639	39204943	10087	10348	0	10087
ERR9924614.671724	16094	5510	16082	+	OX276331.1	39288891	8507	19094	10077	10643	44	10077
ERR9924614.410658	11344	37	11336	+	OX276332.1	39234617	213	11474	9924	11315	60	9924
ERR9924614.1566832	11971	4	10061	-	OX276331.1	39288891	8507	18559	9862	10068	56	9862
ERR9924614.1476934	10164	3	10016	-	OX276331.1	39288891	27945	37953	9848	10013	2	9848
ERR9924614.522830	11085	11	10416	-	OX276331.1	39288891	8507	18899	9845	10466	49	9845
ERR9924614.1674807	9774	7	9765	-	OX276332.1	39234617	2836	12595	9741	9759	60	9741
ERR9924614.1676607	15375	9	12614	+	OX276331.1	39288891	39276297	39288883	9690	12613	60	9690
ERR9924614.330771	14431	22	14366	-	OX276333.1	26735716	9126	23476	9522	14354	60	9522
ERR9924614.64709	9576	8	9557	+	OX276332.1	39234617	39212789	39222338	9521	9549	0	9521
ERR9924614.1250550	12127	0	12019	-	OX276328.1	64010702	10231	24393	9506	14843	60	9506
